,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
97,2017,Bundestagswahl,21500,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1486,292,800,3,793,128,68,173,96,61,5,180,15,67,7
98,2017,Bundestagswahl,22001,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Brief,0,0,895,895,885,236,86,152,74,77,7,167,12,74,10
99,2017,Bundestagswahl,22002,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Brief,0,0,987,987,983,259,82,165,78,91,8,212,7,81,4
100,2017,Bundestagswahl,22100,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1569,311,919,2,908,165,98,196,80,59,8,227,9,66,11
101,2017,Bundestagswahl,22200,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1328,266,723,1,714,135,75,123,30,52,5,217,12,65,9
102,2017,Bundestagswahl,22300,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1241,215,662,0,655,134,56,138,30,42,8,169,7,71,7
103,2017,Bundestagswahl,22400,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,922,138,527,0,515,108,55,86,10,40,11,170,2,33,12
104,2017,Bundestagswahl,22501,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1212,270,722,3,710,170,54,104,31,74,3,222,6,46,12
105,2017,Bundestagswahl,22502,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1673,351,943,2,936,184,88,165,74,84,10,230,7,94,7
106,2017,Bundestagswahl,22600,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1081,196,666,2,661,128,65,114,28,57,5,206,5,53,5
107,2017,Bundestagswahl,22700,22 Mickten,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1085,213,666,2,653,130,62,108,19,56,2,233,7,36,13
108,2017,Bundestagswahl,23000,23 Kaditz,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Brief,0,0,816,816,813,276,57,106,38,86,8,187,5,50,3
109,2017,Bundestagswahl,23100,23 Kaditz,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1109,226,611,0,605,121,47,92,36,62,7,197,2,41,6
110,2017,Bundestagswahl,23200,23 Kaditz,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1237,243,636,1,631,96,55,116,40,59,8,201,5,51,5
111,2017,Bundestagswahl,23300,23 Kaditz,"05 Mickten, Kaditz, Trachau",StB 2 Pieschen,Wahlbezirk_Urne,1056,213,662,4,657,202,44,66,33,61,4,212,0,35,5
