,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
157,06 StB Klotzsche und n_rdliche OS,29,10,9,13,17,14,0
158,06 StB Klotzsche und n_rdliche OS,27,10,5,9,31,10,0
159,06 StB Klotzsche und n_rdliche OS,25,9,9,14,21,13,0
160,06 StB Klotzsche und n_rdliche OS,23,10,8,11,26,15,0
161,06 StB Klotzsche und n_rdliche OS,23,6,5,8,35,13,0
162,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29,8,14,16,13,13,0
163,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32,8,10,18,14,11,0
164,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,22,8,13,16,21,14,0
165,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32,10,11,12,15,13,0
166,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25,9,14,17,19,9,0
167,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,21,6,13,13,25,14,0
168,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33,9,13,13,11,13,0
169,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,31,13,10,10,13,14,0
170,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33,8,9,12,16,13,0
171,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28,10,12,13,13,15,0
172,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26,9,14,12,19,13,0
173,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28,11,10,11,18,13,0
174,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29,9,8,8,23,14,0
175,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29,8,10,11,24,12,0
176,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24,8,8,12,26,14,0
177,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30,10,10,8,21,13,0
178,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25,8,9,13,21,17,0
179,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,28,11,12,9,19,13,0
180,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,20,5,10,14,29,14,0
181,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,21,10,10,11,28,11,0
182,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,23,10,6,8,31,15,0
183,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,33,8,6,11,19,13,0
184,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,29,10,6,11,25,12,0
185,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,27,10,2,8,34,10,0
186,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24,10,4,8,29,14,0
187,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,27,8,6,12,28,11,0
188,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,32,8,6,10,27,8,0
189,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,34,7,8,15,19,8,0
190,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30,9,5,17,23,10,0
191,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,23,7,3,14,32,11,0
192,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26,11,6,13,23,13,0
193,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,24,7,5,12,34,9,0
